 p V(out) V(in) 
 0. 3.3 0. 
 0.001 3.3 0.001 
 0.002 3.3 0.002 
 0.003 3.3 0.003 
 0.004 3.3 0.004 
 0.005 3.3 0.005 
 0.006 3.3 0.006 
 0.007 3.3 0.007 
 0.008 3.3 0.008 
 0.009 3.3 0.009 
 0.01 3.3 0.01 
 0.011 3.3 0.011 
 0.012 3.3 0.012 
 0.013 3.3 0.013 
 0.014 3.3 0.014 
 0.015 3.3 0.015 
 0.016 3.3 0.016 
 0.017 3.3 0.017 
 0.018 3.3 0.018 
 0.019 3.3 0.019 
 0.02 3.3 0.02 
 0.021 3.3 0.021 
 0.022 3.3 0.022 
 0.023 3.3 0.023 
 0.024 3.3 0.024 
 0.025 3.3 0.025 
 0.026 3.3 0.026 
 0.027 3.3 0.027 
 0.028 3.3 0.028 
 0.029 3.3 0.029 
 0.03 3.3 0.03 
 0.031 3.3 0.031 
 0.032 3.3 0.032 
 0.033 3.3 0.033 
 0.034 3.3 0.034 
 0.035 3.3 0.035 
 0.036 3.3 0.036 
 0.037 3.3 0.037 
 0.038 3.3 0.038 
 0.039 3.3 0.039 
 0.04 3.3 0.04 
 0.041 3.3 0.041 
 0.042 3.3 0.042 
 0.043 3.3 0.043 
 0.044 3.3 0.044 
 0.045 3.3 0.045 
 0.046 3.3 0.046 
 0.047 3.3 0.047 
 0.048 3.3 0.048 
 0.049 3.3 0.049 
 0.05 3.3 0.05 
 0.051 3.3 0.051 
 0.052 3.3 0.052 
 0.053 3.3 0.053 
 0.054 3.3 0.054 
 0.055 3.3 0.055 
 0.056 3.3 0.056 
 0.057 3.3 0.057 
 0.058 3.3 0.058 
 0.059 3.3 0.059 
 0.06 3.3 0.06 
 0.061 3.3 0.061 
 0.062 3.3 0.062 
 0.063 3.3 0.063 
 0.064 3.3 0.064 
 0.065 3.3 0.065 
 0.066 3.3 0.066 
 0.067 3.3 0.067 
 0.068 3.3 0.068 
 0.069 3.3 0.069 
 0.07 3.3 0.07 
 0.071 3.3 0.071 
 0.072 3.3 0.072 
 0.073 3.3 0.073 
 0.074 3.3 0.074 
 0.075 3.3 0.075 
 0.076 3.3 0.076 
 0.077 3.3 0.077 
 0.078 3.3 0.078 
 0.079 3.3 0.079 
 0.08 3.3 0.08 
 0.081 3.3 0.081 
 0.082 3.3 0.082 
 0.083 3.3 0.083 
 0.084 3.3 0.084 
 0.085 3.3 0.085 
 0.086 3.3 0.086 
 0.087 3.3 0.087 
 0.088 3.3 0.088 
 0.089 3.3 0.089 
 0.09 3.3 0.09 
 0.091 3.3 0.091 
 0.092 3.3 0.092 
 0.093 3.3 0.093 
 0.094 3.3 0.094 
 0.095 3.3 0.095 
 0.096 3.3 0.096 
 0.097 3.3 0.097 
 0.098 3.3 0.098 
 0.099 3.3 0.099 
 0.1 3.3 0.1 
 0.101 3.3 0.101 
 0.102 3.3 0.102 
 0.103 3.3 0.103 
 0.104 3.3 0.104 
 0.105 3.3 0.105 
